               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1192,            0.029749,            0.028834,           0.0019281,               0.425,            0.003096,          0.00034371,            0.094053,            0.025253,             0.02322,              0.0012,              0.0012,              0.0892
                   1,             0.10453,            0.030503,            0.024668,           0.0027179,             0.65873,           0.0049871,           0.0013057,            0.067387,            0.024264,            0.017467,           0.0024753,           0.0024753,            0.077475
                   2,             0.08495,            0.030969,             0.01774,           0.0037586,                0.95,            0.051199,            0.012214,            0.065696,              0.0198,            0.010913,           0.0037248,           0.0037248,            0.065725
                   3,            0.079633,            0.026133,            0.013751,             0.12718,             0.36957,             0.21942,            0.051751,            0.066613,            0.015434,           0.0062512,           0.0049485,           0.0049485,            0.053949
                   4,            0.083841,            0.022319,            0.010656,             0.15556,             0.36424,             0.18869,            0.038766,            0.072006,             0.01146,           0.0033526,           0.0061466,           0.0061466,            0.042147
                   5,            0.085585,            0.019313,           0.0081016,             0.17221,             0.32456,             0.17415,            0.029759,             0.06953,            0.009733,           0.0032369,           0.0073188,           0.0073188,            0.030319
                   6,             0.08512,            0.018097,            0.007437,            0.062442,             0.18421,             0.05865,             0.01018,            0.073464,           0.0077366,           0.0054442,           0.0084654,           0.0084654,            0.018465
                   7,            0.084322,            0.017225,           0.0076326,              0.2529,             0.29825,             0.24832,            0.069164,            0.064517,           0.0088178,           0.0039456,            0.009307,            0.009307,            0.009307
                   8,             0.07568,             0.01824,           0.0083474,             0.40556,             0.42439,             0.32516,            0.079968,            0.063894,           0.0082048,           0.0025867,            0.009307,            0.009307,            0.009307
                   9,            0.064952,            0.017315,           0.0073771,             0.37898,              0.4386,             0.37757,             0.15554,             0.05519,           0.0089643,           0.0025112,            0.009208,            0.009208,            0.009208
                  10,            0.075637,            0.019263,            0.006026,             0.36378,             0.36842,             0.27306,            0.057801,            0.065145,            0.007912,           0.0015841,            0.009109,            0.009109,            0.009109
                  11,            0.070797,            0.016231,           0.0056064,             0.34724,                 0.5,             0.30606,            0.089321,            0.063307,           0.0074125,           0.0016923,             0.00901,             0.00901,             0.00901
                  12,            0.070928,            0.016284,           0.0047974,             0.50323,             0.49123,             0.54842,             0.21963,            0.060448,           0.0067739,           0.0014655,            0.008911,            0.008911,            0.008911
                  13,            0.064673,            0.015383,            0.004551,             0.74447,              0.7714,             0.75785,             0.34987,            0.048339,           0.0075846,            0.001984,            0.008812,            0.008812,            0.008812
                  14,            0.059713,            0.015762,           0.0045701,             0.63693,             0.72903,             0.61059,             0.16626,            0.053659,            0.007261,           0.0014276,            0.008713,            0.008713,            0.008713
                  15,            0.066752,            0.017214,             0.00485,             0.73742,             0.74171,             0.81317,             0.23239,            0.046044,           0.0073111,           0.0014961,            0.008614,            0.008614,            0.008614
                  16,            0.060611,            0.017221,           0.0065662,             0.67949,             0.64343,             0.68041,              0.3284,             0.04986,           0.0064175,           0.0012056,            0.008515,            0.008515,            0.008515
                  17,            0.059313,            0.015509,           0.0027574,              0.6235,             0.61612,             0.67999,             0.29634,            0.047686,             0.00661,           0.0012282,            0.008416,            0.008416,            0.008416
                  18,            0.070005,            0.014586,           0.0036874,             0.51299,             0.49416,             0.54493,              0.2802,            0.055377,           0.0057829,           0.0019321,            0.008317,            0.008317,            0.008317
                  19,            0.068174,            0.014124,            0.005156,             0.36609,             0.75439,             0.62441,             0.35222,            0.048821,           0.0064338,           0.0026279,            0.008218,            0.008218,            0.008218
                  20,            0.058665,            0.016111,           0.0046805,             0.42612,             0.77657,             0.69287,             0.28826,            0.048766,           0.0066785,           0.0027222,            0.008119,            0.008119,            0.008119
                  21,            0.058236,            0.014029,           0.0048077,              0.5734,             0.76316,             0.78698,             0.39856,            0.042908,           0.0062151,           0.0022665,             0.00802,             0.00802,             0.00802
                  22,            0.060352,            0.013404,           0.0037097,             0.62407,             0.77193,             0.72985,             0.34263,            0.039556,             0.00607,           0.0016978,            0.007921,            0.007921,            0.007921
                  23,            0.053175,            0.015476,           0.0036112,             0.70593,             0.79825,              0.7835,             0.41309,            0.036651,           0.0061449,           0.0016054,            0.007822,            0.007822,            0.007822
                  24,            0.050385,            0.012687,           0.0025406,             0.69552,             0.81297,             0.83397,               0.473,             0.04064,             0.00595,           0.0011939,            0.007723,            0.007723,            0.007723
                  25,            0.051086,            0.013961,           0.0028816,             0.68287,              0.8032,             0.82217,             0.48763,            0.035443,           0.0059005,            0.001258,            0.007624,            0.007624,            0.007624
                  26,            0.051817,            0.014629,           0.0034693,             0.82379,             0.85126,             0.91127,             0.50982,            0.033405,           0.0059314,           0.0011131,            0.007525,            0.007525,            0.007525
                  27,            0.046965,            0.014063,             0.00254,             0.78048,             0.65789,             0.79158,             0.28401,            0.045789,           0.0058253,          0.00090879,            0.007426,            0.007426,            0.007426
